district_num,alloc_B01003_001E,alloc_B03002_001E,alloc_B03002_003E,alloc_B03002_004E,alloc_B03002_012E,alloc_B15003_001E,alloc_B15003_022E,alloc_B15003_023E,alloc_B15003_024E,alloc_B15003_025E,alloc_B25003_001E,alloc_B25003_002E,alloc_pop_weight,alloc_income_wt,alloc_age_wt,total_pop,white_pct,black_pct,hispanic_pct,college_pct,owner_occ_pct,median_income,median_age,district_land_area_sqmi,pop_density
25,111803.440564,111803.440564,47883.248340,48454.329814,5681.753228,69753.961491,12687.603242,7204.196019,2141.486248,2201.113455,49408.758859,17922.888191,111803.440564,4848713608.414882,4044119.683159,111803.440564,0.428281,0.433389,0.050819,0.347427,0.362747,43368.196756,36.171693,30.692324,3642.716635
26,112162.109949,112162.109949,75347.145929,24342.300487,5404.972374,81262.469256,24719.488388,12824.261162,4387.887630,2461.957219,54532.147882,29575.328933,112162.109949,9410890838.148304,4178924.744247,112162.109949,0.671770,0.217028,0.048189,0.546299,0.542347,83904.367013,37.257901,32.461845,3455.198225
27,128176.342157,128176.342157,93126.513199,20368.256047,4799.312617,88800.735710,25764.057632,13217.230088,3795.813912,2347.041014,51684.347041,38745.444336,128176.342157,14523404275.942905,5385036.668703,128176.342157,0.726550,0.158908,0.037443,0.508151,0.749655,113307.994530,42.012719,81.868146,1565.643646
28,120640.513826,120640.513826,78046.878104,21511.566097,8675.819926,85296.226082,25476.574108,12607.233401,3029.183869,2438.951482,49860.572018,34035.381002,120640.513826,11882357644.064425,5059422.318938,120640.513826,0.646938,0.178311,0.071915,0.510596,0.682611,98493.924364,41.938004,57.527332,2097.099064
29,122186.151202,122186.151202,78578.952795,31784.290864,3672.868330,83410.639104,16397.202955,5803.084648,775.186802,840.988796,48577.516354,34762.520114,122186.151202,9386149567.154413,4854920.714831,122186.151202,0.643109,0.260130,0.030060,0.285533,0.715609,76818.440345,39.733805,121.576677,1005.013085
30,112607.562023,112607.562023,96272.020588,8950.481538,1629.572366,76421.258922,18304.835487,6967.711572,830.368587,686.561313,44389.887900,35874.379403,112607.562023,10218379837.095394,4568352.066919,112607.562023,0.854934,0.079484,0.014471,0.350550,0.808166,90743.282720,40.568786,62.745282,1794.677750
31,125798.983464,125798.983464,105246.677505,7060.306398,2297.984388,91579.124794,22751.809705,9046.075954,2714.966704,1440.340846,54654.512283,38285.452360,125798.983464,11282239088.146143,5323838.135400,125798.983464,0.836626,0.056124,0.018267,0.392592,0.700499,89684.660221,42.320200,150.469333,836.044004
32,115769.255875,115769.255875,97157.288900,7439.053866,2672.785283,84481.343123,14251.004299,5564.283985,661.822257,498.220486,50256.718969,36056.548411,115769.255875,8405996225.840432,5045906.107906,115769.255875,0.839232,0.064258,0.023087,0.248284,0.717447,72609.918431,43.585890,107.152237,1080.418471
33,115551.388935,115551.388935,59634.378702,40272.679764,3901.858355,77154.277260,13160.991697,5140.961664,1287.384372,952.317446,51084.986781,25720.852845,115551.388935,6027710945.966667,4382226.081773,115551.388935,0.516085,0.348526,0.033767,0.266241,0.503491,52164.764106,37.924478,39.232654,2945.286025
34,120365.133701,120365.133701,91691.540437,12156.126971,3834.378475,84611.327217,22915.223679,10586.008587,2252.856738,1954.033241,48550.902652,33390.299590,120365.133701,11891332091.558014,5058461.002210,120365.133701,0.761778,0.100994,0.031856,0.445663,0.687738,98793.826135,42.025966,73.651223,1634.258444
