district,composite_lean,gov_2018_lean,statewide_avg_2018_lean,uss_2018_lean,pre_2020_lean,gov_2022_lean,statewide_avg_2022_lean,uss_2022_lean,pre_2024_lean,uss_2024_lean,dem_votes_2018,rep_votes_2018,dem_share_2018,margin_2018,winner_2018,contested_2018,dem_votes_2020,rep_votes_2020,dem_share_2020,margin_2020,winner_2020,contested_2020,dem_votes_2022,rep_votes_2022,dem_share_2022,margin_2022,winner_2022,contested_2022,dem_votes_2024,rep_votes_2024,dem_share_2024,margin_2024,winner_2024,contested_2024,candidate_effect_2024,candidate_effect_2022,candidate_effect_2020,candidate_effect_2018
11,0.096155,0.052325,0.036000,0.047130,0.119697,0.102183,0.096546,0.115426,0.131579,0.119197,,,,,,False,,,,,,False,28216.000000,22151.000000,0.560208,0.120416,D,True,33327,30965,0.518369,0.036739,D,True,-0.021219,0.089472,,
58,0.094632,0.160789,0.145432,0.144894,0.108666,0.038903,0.088241,0.086101,0.080048,0.087747,,,,,,False,,,,,,False,,,,,,False,28937,20938,0.580190,0.160381,D,True,0.042125,,,
19,0.094300,0.064312,0.073583,0.068082,0.099205,0.094819,0.100220,0.112896,0.114879,0.112125,,,,,,False,,,,,,False,30488.000000,18712.000000,0.619675,0.239350,D,True,36778,27718,0.570237,0.140474,D,True,0.032503,0.150793,,
28,0.089844,0.042831,0.045084,0.030735,0.108700,0.090142,0.097038,0.097026,0.128603,0.111702,27611.000000,27555.000000,0.500508,0.001015,D,True,35353.000000,33039.000000,0.516917,0.033834,D,True,25891.000000,23501.000000,0.524194,0.048388,D,True,35671,28121,0.559177,0.118353,D,True,0.025898,0.059769,-0.032160,-0.070086
34,0.082717,0.062877,0.056003,0.050442,0.089758,0.087043,0.083508,0.096144,0.099099,0.094443,,,,,,False,,,,,,False,27735.000000,23813.000000,0.538042,0.076084,D,True,32674,28763,0.531829,0.063659,D,True,0.005678,0.080744,,
27,0.081150,0.027872,0.026742,0.017566,0.101053,0.088701,0.090499,0.093359,0.118866,0.099106,,,,,,False,,,,,,False,31203.000000,24604.000000,0.559123,0.118247,D,True,39483,31331,0.557559,0.115118,D,True,0.032976,0.103393,,
53,0.077548,0.096131,0.098007,0.097859,0.074454,0.062790,0.077980,0.085540,0.068535,0.084551,,,,,,False,,,,,,False,21253.000000,19536.000000,0.521047,0.042095,D,True,29205,22695,0.562717,0.125434,D,True,0.041735,0.068918,,
15,0.073217,0.073952,0.088556,0.082674,0.071400,0.063672,0.073159,0.088391,0.071649,0.087650,,,,,,False,,,,,,False,,,,,,False,27121,22599,0.545475,0.090949,D,True,0.028823,,,
14,0.056739,0.072406,0.086594,0.077524,0.044126,0.042523,0.059678,0.066954,0.049019,0.065521,,,,,,False,,,,,,False,20269.000000,16191.000000,0.555924,0.111849,D,True,27198,19604,0.581129,0.162258,D,True,0.080956,0.124604,,
10,0.052325,0.064330,0.035107,0.038741,0.042998,0.060420,0.048957,0.053003,0.052117,0.055649,,,,,,False,,,,,,False,15286.000000,17162.000000,0.471092,-0.057816,R,True,26752,25175,0.515185,0.030370,D,True,0.019425,0.044186,,
31,0.049990,0.044483,0.034682,0.031874,0.045135,0.057511,0.054561,0.063703,0.051676,0.055827,,,,,,False,,,,,,False,,,,,,False,30311,34149,0.470230,-0.059541,R,True,-0.023194,,,
23,0.041209,0.029085,0.042269,0.045624,0.036507,0.036110,0.040896,0.054492,0.052919,0.060320,,,,,,False,,,,,,False,25683.000000,24183.000000,0.515040,0.030081,D,True,33941,30241,0.528824,0.057649,D,True,0.044181,0.099250,,
36,0.038330,-0.002770,0.001364,0.009356,0.039778,0.046281,0.050870,0.050879,0.063368,0.061908,,,,,,False,,,,,,False,20443.000000,20905.000000,0.494413,-0.011173,R,True,27060,29757,0.476266,-0.047468,R,True,-0.005498,0.081502,,
49,0.037271,0.040546,0.042886,0.029396,0.048128,0.024564,0.033309,0.033982,0.043166,0.041070,,,,,,False,,,,,,False,16307.000000,18806.000000,0.464415,-0.071170,R,True,22601,24871,0.476091,-0.047818,R,True,-0.004614,0.052563,,
52,0.034382,0.035931,0.043674,0.051041,0.031796,0.024576,0.031408,0.048075,0.036989,0.051260,,,,,,False,,,,,,False,18150.000000,23810.000000,0.432555,-0.134890,R,True,25755,34378,0.428301,-0.143399,R,True,-0.049515,0.023592,,
35,0.033478,0.012697,0.016444,0.014142,0.038389,0.035023,0.032523,0.046376,0.049683,0.048699,,,,,,False,,,,,,False,,,,,,False,33375,36961,0.474508,-0.050984,R,True,-0.002404,,,
64,0.015247,0.071815,0.062641,0.069914,0.008409,-0.021114,0.018696,0.018933,-0.008643,0.009112,,,,,,False,,,,,,False,21072.000000,21847.000000,0.490971,-0.018057,R,True,23695,30439,0.437710,-0.124580,R,True,-0.020971,0.101143,,
17,0.012274,-0.005825,0.000433,-0.003640,0.012235,0.011313,0.016292,0.035010,0.024411,0.031160,,,,,,False,,,,,,False,,,,,,False,28643,34403,0.454319,-0.091362,R,True,-0.001389,,,
60,0.008123,-0.038712,-0.052759,-0.043619,0.036675,0.006139,0.006789,0.023863,0.052854,0.037732,,,,,,False,,,,,,False,0.000000,36534.000000,0.000000,-1.000000,R_uncontested,False,31492,37345,0.457487,-0.085027,R,True,0.005930,,,
39,0.007152,-0.013224,-0.005144,0.001981,0.014440,-0.002987,0.010980,0.005699,0.028232,0.029212,,,,,,False,,,,,,False,19694.000000,24805.000000,0.442572,-0.114857,R,True,22541,32191,0.411843,-0.176314,R,True,-0.038743,0.060839,,
72,-0.001553,0.026928,0.029804,0.012143,-0.026146,0.005914,-0.001747,-0.001534,-0.027578,-0.015451,,,,,,False,,,,,,False,21616.000000,22693.000000,0.487847,-0.024307,R,True,23657,33607,0.413122,-0.173757,R,True,-0.028759,0.114819,,
32,-0.002299,0.022724,0.012136,0.000097,-0.017867,-0.002371,-0.004099,-0.001619,-0.014739,-0.005543,,,,,,False,,,,,,False,17573.000000,20483.000000,0.461767,-0.076466,R,True,23193,31050,0.427576,-0.144848,R,True,-0.013559,0.089484,,
44,-0.006384,-0.007218,-0.017723,0.006188,0.002235,-0.027887,0.000249,0.019702,0.008480,0.001776,,,,,,False,,,,,,False,,,,,,False,27818,37915,0.423197,-0.153606,R,True,-0.013853,,,
75,-0.008378,-0.003593,-0.012767,0.020746,-0.001403,-0.026474,-0.011436,0.008917,0.001214,0.003197,,,,,,False,,,,,,False,17261.000000,25145.000000,0.407041,-0.185917,R,True,22490,32907,0.405979,-0.188043,R,True,-0.029077,0.040838,,
37,-0.018443,-0.058663,-0.055572,-0.046223,-0.000772,-0.019464,-0.014115,-0.011084,0.011636,0.005483,,,,,,False,,,,,,False,0.000000,36121.000000,0.000000,-1.000000,R_uncontested,False,0,43003,0.000000,-1.000000,R_uncontested,False,,,,
29,-0.022784,-0.052893,-0.044726,-0.057805,-0.014711,-0.020940,-0.023888,-0.032642,0.004016,-0.003457,,,,,,False,,,,,,False,0.000000,27256.000000,0.000000,-1.000000,R_uncontested,False,24639,32927,0.428013,-0.143974,R,True,0.007363,,,
89,-0.033136,-0.005773,-0.021051,0.002432,-0.042894,-0.048926,-0.036145,-0.021640,-0.037700,-0.027416,,,,,,False,,,,,,False,16304.000000,26318.000000,0.382525,-0.234949,R,True,24762,35148,0.413320,-0.173360,R,True,0.003022,0.041080,,
73,-0.046639,-0.062094,-0.064921,-0.058467,-0.042453,-0.044890,-0.050312,-0.042311,-0.031327,-0.031492,,,,,,False,,,,,,False,0.000000,33247.000000,0.000000,-1.000000,R_uncontested,False,24595,38390,0.390490,-0.219020,R,True,-0.006305,,,
68,-0.048687,-0.062197,-0.062076,-0.064614,-0.050193,-0.039929,-0.048383,-0.044757,-0.042964,-0.038443,,,,,,False,,,,,,False,0.000000,30205.000000,0.000000,-1.000000,R_uncontested,False,24775,35448,0.411388,-0.177225,R,True,0.016640,,,
57,-0.053968,-0.062231,-0.053165,-0.045494,-0.059358,-0.052343,-0.058091,-0.044575,-0.049038,-0.039032,,,,,,False,,,,,,False,18695.000000,31311.000000,0.373855,-0.252290,R,True,24468,40994,0.373774,-0.252452,R,True,-0.015692,0.053242,,
59,-0.056212,-0.004583,-0.027435,-0.011379,-0.052345,-0.094135,-0.062244,-0.059839,-0.065472,-0.056110,,,,,,False,,,,,,False,,,,,,False,26294,34950,0.429332,-0.141336,R,True,0.042110,,,
70,-0.064580,-0.115013,-0.106826,-0.096527,-0.047785,-0.061923,-0.058569,-0.058914,-0.029450,-0.037882,,,,,,False,,,,,,False,17340.000000,29303.000000,0.371760,-0.256480,R,True,24030,38455,0.384572,-0.230855,R,True,0.005719,0.061759,,
65,-0.065296,-0.021957,-0.030411,-0.020940,-0.078286,-0.083487,-0.064563,-0.066339,-0.086942,-0.072422,,,,,,False,,,,,,False,0.000000,27274.000000,0.000000,-1.000000,R_uncontested,False,0,44110,0.000000,-1.000000,R_uncontested,False,,,,
56,-0.065368,-0.112543,-0.112724,-0.124331,-0.049920,-0.056164,-0.053242,-0.051681,-0.036890,-0.049156,,,,,,False,,,,,,False,19135.000000,29241.000000,0.395547,-0.208905,R,True,23510,39280,0.374423,-0.251155,R,True,-0.003643,0.086335,,
74,-0.065451,-0.062509,-0.050772,-0.023440,-0.058977,-0.071314,-0.063140,-0.064123,-0.077684,-0.073424,,,,,,False,,,,,,False,13002.000000,22394.000000,0.367330,-0.265341,R,True,17577,31515,0.358042,-0.283916,R,True,-0.019940,0.058200,,
45,-0.065938,-0.100127,-0.099281,-0.114496,-0.049498,-0.061804,-0.062940,-0.067853,-0.041072,-0.049906,,,,,,False,,,,,,False,16578.000000,29389.000000,0.360650,-0.278700,R,True,23138,37565,0.381167,-0.237665,R,True,0.003672,0.052007,,
61,-0.066262,-0.097399,-0.106553,-0.101046,-0.060971,-0.054148,-0.067586,-0.060069,-0.041573,-0.049209,,,,,,False,,,,,,False,22120.000000,31443.000000,0.412972,-0.174057,R,True,27698,44808,0.382010,-0.235980,R,True,0.004838,0.104653,,
54,-0.067704,-0.045903,-0.041159,-0.028143,-0.094561,-0.058913,-0.069083,-0.065741,-0.090876,-0.073517,,,,,,False,,,,,,False,17858.000000,27912.000000,0.390168,-0.219664,R,True,20685,39271,0.345003,-0.309994,R,True,-0.030727,0.083291,,
66,-0.069052,-0.084743,-0.081320,-0.085370,-0.072956,-0.060857,-0.066296,-0.058021,-0.062851,-0.057125,,,,,,False,,,,,,False,17829.000000,32557.000000,0.353848,-0.292303,R,True,22770,43051,0.345938,-0.308124,R,True,-0.028444,0.048319,,
99,-0.069140,-0.068162,-0.061377,-0.055528,-0.077161,-0.062817,-0.072349,-0.064740,-0.076079,-0.066771,,,,,,False,,,,,,False,19082.000000,29096.000000,0.396073,-0.207854,R,True,20986,38184,0.354673,-0.290654,R,True,-0.019621,0.090632,,
47,-0.069844,-0.081762,-0.082538,-0.096434,-0.070031,-0.059416,-0.066528,-0.077942,-0.065748,-0.069270,,,,,,False,,,,,,False,11959.000000,22133.000000,0.350786,-0.298428,R,True,18470,29643,0.383888,-0.232224,R,True,0.010298,0.046049,,
50,-0.070701,-0.046261,-0.045381,-0.049980,-0.088436,-0.071936,-0.072933,-0.070588,-0.086465,-0.075941,,,,,,False,,,,,,False,0.000000,31502.000000,0.000000,-1.000000,R_uncontested,False,18098,36149,0.333622,-0.332756,R,True,-0.039111,,,
