district,composite_lean,margin,sigma_i,inc_shift,win_prob,marginal_wp,tier,open_seat_2026,current_holder,incumbent_status_2026,target_mode_voterfile,n_mobilization_targets,n_persuasion_targets,investment_rank
88,-0.1099,-0.1299,0.0263,0.0000,0.0000,0.0001,likely_r,False,R,true_incumbent,persuasion,666,17588,71
91,-0.2045,-0.2245,0.0462,0.0000,0.0000,0.0001,safe_r,False,R,true_incumbent,persuasion,626,17454,72
26,0.2452,0.2252,0.0462,0.0000,1.0000,0.0001,safe_d,False,D,true_incumbent,persuasion,1307,24272,73
79,-0.1701,-0.1901,0.0387,0.0000,0.0000,0.0001,safe_r,False,R,true_incumbent,persuasion,619,19592,74
7,0.2466,0.2266,0.0462,0.0000,1.0000,0.0001,safe_d,True,D,open_seat,persuasion,1124,22224,75
55,-0.1766,-0.1966,0.0397,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,550,25909,76
69,-0.1867,-0.2067,0.0412,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,595,20401,77
40,-0.2008,-0.2208,0.0440,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,617,20779,78
85,-0.2257,-0.2457,0.0479,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,474,18520,79
83,-0.1771,-0.1971,0.0361,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,621,17910,80
63,-0.1941,-0.2141,0.0388,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,555,20385,81
33,0.2739,0.2539,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1894,17028,82
30,-0.1461,-0.1661,0.0281,0.0000,0.0000,0.0000,likely_r,False,R,true_incumbent,persuasion,626,26134,83
38,0.3028,0.2828,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1618,17075,84
82,-0.2182,-0.2382,0.0387,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,520,18459,85
2,0.3119,0.2919,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1718,17569,86
86,-0.1119,-0.1319,0.0204,0.0000,0.0000,0.0000,likely_r,False,R,true_incumbent,persuasion,596,20055,87
24,0.2736,0.2536,0.0393,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1297,15887,88
21,0.3113,0.2913,0.0445,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,2130,20705,89
87,-0.2008,-0.2208,0.0309,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,579,18694,90
84,-0.2652,-0.2852,0.0394,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,365,19022,91
1,0.3656,0.3456,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1813,17635,92
3,0.3705,0.3505,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,hybrid,3379,14355,93
25,0.3814,0.3614,0.0455,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1448,14924,94
22,0.3943,0.3743,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,2315,16076,95
80,-0.1978,-0.2178,0.0266,0.0000,0.0000,0.0000,safe_r,False,R,true_incumbent,persuasion,652,21077,96
20,0.4226,0.4026,0.0462,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,2039,12620,97
18,0.4342,0.4142,0.0462,0.0000,1.0000,0.0000,safe_d,True,D,open_seat,persuasion,2400,18241,98
13,0.3122,0.2922,0.0233,0.0000,1.0000,0.0000,safe_d,False,D,true_incumbent,persuasion,1705,18739,99
