district,total_active_voters,n_strong_d,n_lean_d,n_crossover,n_unaffiliated,n_lean_r,n_strong_r,n_high_propensity,n_medium_propensity,n_low_propensity,n_very_low_propensity,n_presidential_only,turnout_2020,turnout_2024,turnout_2018,turnout_2022,n_mobilization_targets,n_persuasion_targets,inactive_voters,pct_strong_d,pct_lean_d,pct_crossover,pct_unaffiliated,pct_lean_r,pct_strong_r,partisan_advantage,pct_presidential_only,pct_mobilization_targets,pct_persuasion_targets,turnout_dropoff
43,57435,5056,9049,1910,32551,5856,3013,21851,17843,8822,8919,13778,0.674763,0.795212,0.495099,0.502533,1236,17760,14267,0.088030,0.157552,0.033255,0.566745,0.101959,0.052459,0.091164,0.239889,0.021520,0.309219,0.631949
44,75534,5316,8747,3361,35339,14659,8112,36358,24200,9336,5640,16002,0.775743,0.892353,0.580917,0.625361,972,24984,10698,0.070379,0.115802,0.044497,0.467856,0.194072,0.107395,-0.115286,0.211852,0.012868,0.330765,0.700800
45,73846,2768,6374,2313,38023,14252,10116,33380,22711,9873,7882,15982,0.746364,0.838718,0.552515,0.591325,798,23688,8267,0.037483,0.086315,0.031322,0.514896,0.192996,0.136988,-0.206186,0.216423,0.010806,0.320776,0.705034
46,71410,2257,5404,1807,39869,13319,8754,28411,23228,10561,9210,17573,0.712967,0.815180,0.496233,0.539448,704,23022,8030,0.031606,0.075676,0.025305,0.558311,0.186514,0.122588,-0.201820,0.246086,0.009859,0.322392,0.661754
47,62032,2619,5225,1713,34463,10542,7470,24130,19476,9580,8846,15192,0.691579,0.797459,0.488538,0.526454,809,18904,7761,0.042220,0.084231,0.027615,0.555568,0.169945,0.120422,-0.163915,0.244906,0.013042,0.304746,0.660164
48,77649,5297,7357,4704,32998,15085,12208,36415,24766,9530,6938,16343,0.778168,0.854911,0.566009,0.618102,1190,22920,7086,0.068217,0.094747,0.060580,0.424964,0.194272,0.157220,-0.188528,0.210473,0.015325,0.295174,0.723001
49,62757,5662,7309,3539,31590,8410,6247,25239,18849,8606,10063,13519,0.701197,0.765349,0.513680,0.528929,1397,17917,8946,0.090221,0.116465,0.056392,0.503370,0.134009,0.099543,-0.026866,0.215418,0.022260,0.285498,0.691095
50,67513,4706,6780,3687,31415,11353,9572,28998,22417,8850,7248,15357,0.754595,0.831855,0.531557,0.579681,1066,20237,6540,0.069705,0.100425,0.054612,0.465318,0.168160,0.141780,-0.139810,0.227467,0.015790,0.299750,0.696854
51,60738,3729,5253,3124,28335,11393,8904,27431,20197,7655,5455,13941,0.767510,0.870262,0.554052,0.591343,784,19357,8941,0.061395,0.086486,0.051434,0.466512,0.187576,0.146597,-0.186292,0.229527,0.012908,0.318697,0.679500
52,71792,6772,8762,4497,33421,10220,8120,32635,23769,9163,6225,16263,0.762188,0.879806,0.552290,0.599412,1302,23830,12051,0.094328,0.122047,0.062639,0.465525,0.142356,0.113105,-0.039085,0.226529,0.018136,0.331931,0.681301
53,64450,7933,8620,3967,30911,7775,5244,28194,20740,8510,7006,14904,0.741567,0.854600,0.540388,0.567836,1597,20579,13051,0.123088,0.133747,0.061552,0.479612,0.120636,0.081365,0.054833,0.231249,0.024779,0.319302,0.664446
54,70524,5182,6566,3490,32547,12775,9964,32025,23271,9762,5466,17015,0.757614,0.892008,0.543290,0.602008,1167,22201,13163,0.073479,0.093103,0.049487,0.461502,0.181144,0.141285,-0.155848,0.241265,0.016548,0.314801,0.674890
55,80949,2509,5056,2401,38006,19535,13442,38315,27004,10019,5611,17906,0.779330,0.903025,0.569260,0.622911,550,25909,10797,0.030995,0.062459,0.029661,0.469505,0.241325,0.166055,-0.313926,0.221201,0.006794,0.320066,0.689804
56,71866,2997,6552,2970,33758,14328,11261,34210,22609,9336,5711,15300,0.756269,0.890143,0.562561,0.631523,731,22802,11340,0.041703,0.091170,0.041327,0.469735,0.199371,0.156694,-0.223193,0.212896,0.010172,0.317285,0.709462
